"filename", "language", "Markdown", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "JavaScript", "HTML", "YAML", "Dotenv", "comment", "blank", "total"
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/appAssert.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/bcrypt.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/catchErrors.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/cookies.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/date.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/emailTemplates.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/jwt.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/sendMail.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/src/utils/strings.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 1, 17
"/home/hugo/Documents/coding_2025/karaoke-list-app/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 1, 29
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/.github/workflows/ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 8, 37
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 34, 16, 92
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/jest.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 10, 1, 23
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/package-lock.json", "JSON", 0, 0, 9493, 0, 0, 0, 0, 0, 0, 0, 1, 9494
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/public/site.webmanifest", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/sample.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 1, 9, 99
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/api/api.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 2, 6, 68
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/api/http.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/AlertSuggestions.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/AppContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/EmptyList.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/EventsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 10, 17, 148
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/IconCircle.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 3, 27
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/PageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/ResetPasswordForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 2, 85
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/SessionCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/SongSuggestionsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/UserMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 5, 39
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/buttonGroups/AddToggleButtonGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/buttonGroups/CheckboxGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 7, 83
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/buttonGroups/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/buttonGroups/ListsToggleGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/buttonGroups/NavButtonGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/stats/MostSangBarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 96, 0, 0, 0, 0, 9, 12, 117
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/table/TableBody.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 12, 126
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/table/TableHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 3, 65
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/components/table/TableWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/config/actions.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/hugo/Documents/coding_2025/karaoke-list-app/frontend/src/config/apiClient.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 7, 45
